group,variable,value
FD,2005,2.85
FD,2006,1.42
FD,2007,1.16
FD,2008,1.0
FD,2009,2.75
FD,2010,1.83
FD,2011,0.67
FD,2012,2.2
FD,2013,2.0
FD,2014,1.4
RN,2005,2.25
RN,2006,0.0
RN,2007,2.8
RN,2008,2.16
RN,2009,1.85
RN,2010,1.6
RN,2011,3.16
RN,2012,1.33
RN,2013,0.0
RN,2014,2.0
NJ,2005,5.0
NJ,2006,9.0
NJ,2007,1.4
NJ,2008,3.83
NJ,2009,2.8
NJ,2010,5.16
NJ,2011,2.27
NJ,2012,2.28
NJ,2013,1.67
NJ,2014,1.2
AM,2005,0.0
AM,2006,1.0
AM,2007,3.5
AM,2008,3.0
AM,2009,2.2
AM,2010,1.85
AM,2011,2.5
AM,2012,3.85
AM,2013,0.33
AM,2014,2.6
AR,2005,1.2
AR,2006,2.0
AR,2007,1.833
AR,2008,1.0
AR,2009,2.16
AR,2010,1.0
AR,2011,3.5
AR,2012,1.5
AR,2013,0
AR,2014,0
JT,2005,0
JT,2006,0
JT,2007,3.5
JT,2008,1.83
JT,2009,2.25
JT,2010,2.5
JT,2011,5.67
JT,2012,3.0
JT,2013,1.6
JT,2014,2.0
DF,2005,4.0
DF,2006,2.5
DF,2007,1.5
DF,2008,1.8
DF,2009,4.0
DF,2010,0.5
DF,2011,1.83
DF,2012,2.8
DF,2013,1.67
DF,2014,2.6
FV,2005,4.0
FV,2006,13.0
FV,2007,4.5
FV,2008,4.0
FV,2009,3.33
FV,2010,8.5
FV,2011,3.5
FV,2012,11.0
FV,2013,5.33
FV,2014,12.0
MB,2005,2.2
MB,2006,3.33
MB,2007,4.5
MB,2008,5.33
MB,2009,3.75
MB,2010,1.33
MB,2011,2.67
MB,2012,4.5
MB,2013,2.0
MB,2014,4.0
MC,2005,0.0
MC,2006,0.0
MC,2007,6.0
MC,2008,2.5
MC,2009,2.75
MC,2010,4.33
MC,2011,4.75
MC,2012,0.0
MC,2013,3.33
MC,2014,5.5
